序号	名称		价格	简介	颜色	重量
1	ONTHEGO 手袋	21000	Onthego 手袋在 Monogram Giant 帆布的衬托下醒目迷人，侧边与手柄点缀 Monogram Reverse 图案，相似风尚中窥见色彩与纹理的变化。大号构型内含充裕容量，搭配肩带与 Toron 手柄，日常生活随心出发。	古典	41.0 x 34.0 x 19.0 cm
2	CLÉMENCE 钱夹	6700	Clémence 钱夹碰撞 Monogram Empreinte 皮革，以 Monogram 花卉塑造拉链头，优雅跻身 Blooming Flowers 系列。纤薄构型内含考究设计，配有多个口袋和卡位。		蓝红	20.0 x 9.0 x 2.0 cm
3	SARAH 钱夹	5500	信封样式的 Sarah 钱夹将优雅动人的 Damier Azur 帆布外层与精心设计的内层结构结合，提供了多个内袋和信用卡卡槽。	乳白色	19.0 x 10.5 x 2.5 cm
4	ZIPPY 拉链钱夹	7300	Zippy 拉链钱夹取材经典 Monogram 帆布，以生动意趣展现吉祥物 Vivienne与巴黎埃菲尔铁塔之景，致意路易威登的旅行传承。	彩色	19.5 x 10.5 x 2.5 cm
5	TWIST 中号手袋	31500	2020 年夏季，路易威登以绚丽色彩重绎品牌经典。本款 Twist 中号手袋取材深染 Epi 皮革，搭配有机玻璃手柄和炫彩名牌及挂饰，更有 LV Twist 扭锁传递标志性格调。可拆卸皮革肩带实现多种背携方式。	红色	23.0 x 17.0 x 9.5 cm
6	TWIST 中号手袋	31500	本款 Twist 中号手袋以慵懒格调诠释新古典主义设计。Epi 皮革手柄搭配刺绣缎面宽肩带，后者将路易威登标识与 Monogram 花卉分饰两侧，实现贴身斜挎方式。		深绿	23.0 x 17.0 x 9.5 cm
7	VANITY 小号手袋	19800	2020 春夏季见证 Nicolas Ghesquitère 为路易威登旅行传承谱写的当代乐章。本款都市手袋以 Monogram 和 Monogram Reverse 帆布重绎 Nice 化妆包，无论手提或系上皮革链条肩带实现肩背或斜挎，均可令柔软轻盈的设计随身而动。		古典色	19.0 x 13.0 x 11.0 cm
8	PETITE MALLE 手袋	230000	此款 Petite Malle 手袋于 2020 春夏系列时装秀上亮相，由华贵鳄鱼皮制成。多彩波点图案令人联想到花卉和动物元素，由路易威登工匠亲手打造，令每款手袋别具风情。品牌经典硬箱为灵感之源。	虎皮色	20.0 x 12.5 x 5.0 cm
9	ONTHEGO 手袋	25100	Onthego 手袋上演 Damier 与 Monogram 图案的妙趣交融，在水洗丹宁色调的渲染中令帆布呈现微妙的质感变化。Monogram 元素再添些许雅致，皮革饰边点亮醒目轮廓，充裕空间适宜日常背携。	黑色	41.0 x 34.0 x 19.0 cm	
10	PALM 中号双肩包	17800	在2016年早春系列时装展大放异彩的此款背包风格个性时尚。它延续了华丽的外形，于细节处体现出 LV 气质。	乌木色	30.0 x 33.0 x 16.0 cm
11	ZIPPY XL 钱夹	31000	此款极为稀有的鸵鸟皮版Zippy XL钱夹集出众的实用性与奢华的时尚感于一身。足可与小包袋相媲美的充足容量，配有手柄，便于提携。	黑色	23.0 x 15.0 x 4.0 cm
12	COIN 卡夹		2800	Coin 卡夹以 Monogram Eclipse 涂层帆布和 Monogram Eclipse Reverse 涂层帆布呈现深浅交替，利落硬朗的剪裁囊括卡位、拉链零钱袋和钞票隔层，搭配 LV 字母拉链头。	黑色，浅蓝	8.0 x 14.5 x 1.0 cm
13	MULTIPLE 钱夹	4600	Virgil Abloh 与日本街头服饰设计先锋 Nigo 联袂打造 Multiple 钱夹。背起 LV MADE 标识的乌龟图案栖身 Giant Damier Ebene 帆布之上，多卡位可收纳卡片、收据和钞票，亦可置于口袋。	乌木	11.5 x 9.0 x 1.5 cm
14	BRAZZA 钱夹	6500	Brazza 钱夹选用 Damier Graphite 帆布，印有男装艺术总监 Virgil Abloh 设计的新款交织字母路易威登品牌标识。彩色标识为这款多功能钱夹增添玩趣。	灰黑色	10.0 x 19.0 x 2.0 cm
15	SOFT TRUNK 手袋	28,200	Soft Trunk 手袋选用 Monogram Eclipse 帆布与雾黑色金属件，搭配可调节黑色皮革肩带，实现软质邮差包造型。加固边角缓缓道出品牌经典硬箱之韵，广口设计方便取放物品，柔软质地带来随身而动的背携体验。	黑色	25.0 x 18.0 x 10.0 cm
16	BESACE ZIPPÉE 手袋15800	Besace Zippée 中号手袋采用贴身设计，宽敞的内部空间可容纳文件或平板电脑。该版本由 Monogram Eclipse 帆布打造，属于 Gaston Labels 限量版系列，其压纹皮革贴饰借鉴了Gaston-Louis Vuitton 收藏的复古行李标签设计。	黑色	35.0 x 26.5 x 13.0 cm
17	ALPHA 邮差包	14600	Alpha 邮差包在路易威登经典 Damier Graphite 帆布与黑色金属件的构造中释放摩登气息，别致外袋与两只内袋令物品取放便捷有序，宽肩带成就舒适的斜挎体验。	灰黑	26.0 x 17.0 x 5.0 cm
18	CABAS 手袋	23300	由经典Monogram帆布和天然皮革制成，搭配男装艺术总监Virgil Abloh的标志性金色链条和安全别针，这款Cabas Voyage男士托特手袋内部空间充裕，可以容纳一台笔记本电脑、几份杂志和几本书。包内有一个拉链贴袋，可装iPad，以及两个可放手机的内贴袋。	木橙色	40.5 x 14.5 x 32.0 cm
19	ANTON TOTE 手袋	15800	兼具优雅风格与商务气质，此款Anton Tote手袋于利落简约的外观设计之中暗藏多个实用口袋与隔层。配有手柄和可拆卸肩带，可手提，可肩背。	黑色	34.0 x 37.0 x 7.0 cm
20	SOFT TRUNK 手袋	35000	此款 Soft Trunk 邮差包由结实的优质塑料制成，表面印有标志性的 Monogram 图案，另配深色牛皮饰边。透明侧面设计可令内部构造一览无遗，并搭配内置双层口袋。可拆卸肩带，可调节，便于肩背。	暗橙色	25.0 x 18.0 x 10.0 cm
